TOA5,GLY04,CR1000,12665,CR1000.Std.14,CPU:GLY04f.CR1,11497,H60
TIMESTAMP,RECORD,AirTemp_Avg,RH_Avg,Vap_Press_Avg,HrlySolRad_Avg,WindSpeed,WindDir,WindDir_STDD,Rain_Tot,SoilTemp_5cm_Avg,SoilTemp_15cm_Avg,HWG_speed,HWG_time,HWG_Dir,BaPress_Avg,AVPT_Avg,SVPT_Avg,DOY
TS,RN,Celcius,fraction,kPa,kJ/m^2/min,m/s,Deg,Deg,mm,Celcius,Celcius,m/s,,,kPa,kPa,kPa,
,,Avg,Avg,Avg,Avg,WVc,WVc,WVc,Tot,Avg,Avg,Max,SMM,SMM,Avg,Avg,Avg,Smp
2013-01-30 03:00:00,26899,-12.38,0.814,0.193,0.004,0.15,199.3,26.31,0,-0.484,-0.18,1.325,120,241.7,85.30626,0.192,0.236,30
2013-01-30 04:00:00,26900,-12.4,0.835,0.197,0.002,0.955,213.5,21.71,0,-0.533,-0.177,2.375,208,209.5,85.28504,0.197,0.236,30
2013-01-30 05:00:00,26901,-13.15,0.864,0.192,0.001,0.943,104.1,23.11,0,-0.595,-0.17,2.675,241,144.5,85.24654,0.191,0.222,30
2013-01-30 06:00:00,26902,-13.88,0.865,0.182,0.004,1.389,76.7,33.85,0,-0.664,-0.168,2.525,307,13.93,85.20575,0.181,0.209,30
2013-01-30 07:00:00,26903,-13.43,0.871,0.19,0.014,1.472,102.2,19.67,0,-0.738,-0.17,2.675,415,128.8,85.15042,0.189,0.217,30
2013-01-30 08:00:00,26904,-12.07,0.862,0.209,1.574,1.452,103.5,11.64,0,-0.809,-0.175,2.975,476,142.5,85.09174,0.209,0.242,30
2013-01-30 09:00:00,26905,-10.26,0.835,0.234,8.95,2.064,70.72,11.25,0,-0.87,-0.187,2.975,498,94.2,85.04008,0.234,0.28,30
2013-01-30 10:00:00,26906,-8.81,0.808,0.254,9.75,2.054,46.84,17.13,0,-0.904,-0.198,3.2,556,53.65,85.0577,0.254,0.314,30
