Treatment,5/13/2012,5/14/2012,5/15/2012,5/16/2012,5/17/2012,5/18/2012,5/19/2012,5/20/2012,5/21/2012,5/22/2012,5/23/2012,5/24/2012,5/25/2012,5/26/2012,5/27/2012,5/28/2012,5/29/2012,5/30/2012,5/31/2012,6/1/2012,6/2/2012,6/3/2012,6/4/2012,6/5/2012,6/6/2012,6/7/2012,6/8/2012,6/9/2012,6/10/2012,6/11/2012,6/12/2012,6/13/2012,6/14/2012,6/15/2012,6/16/2012,6/17/2012,6/18/2012,6/19/2012,6/20/2012,6/21/2012,6/22/2012,6/23/2012,6/24/2012,6/25/2012,6/26/2012,6/27/2012,6/28/2012,6/29/2012,6/30/2012,7/1/2012,7/2/2012,7/3/2012,7/4/2012,7/5/2012,7/6/2012,7/7/2012,7/8/2012,7/9/2012,7/10/2012,7/11/2012,7/12/2012,7/13/2012,7/14/2012,7/15/2012,7/16/2012,7/17/2012,7/18/2012,7/19/2012,7/20/2012,7/21/2012,7/22/2012,7/23/2012,7/24/2012,7/25/2012,7/26/2012,7/27/2012,7/28/2012,7/29/2012,7/30/2012,7/31/2012,8/1/2012,8/2/2012,8/3/2012,8/4/2012,8/5/2012,8/6/2012,8/7/2012,8/8/2012,8/9/2012,8/10/2012,8/11/2012,8/12/2012,8/13/2012,8/14/2012,8/15/2012,8/16/2012,8/17/2012,8/18/2012,8/19/2012,8/20/2012,8/21/2012,8/22/2012,8/23/2012,8/24/2012,8/25/2012,8/26/2012,8/27/2012,8/28/2012,8/29/2012,8/30/2012,8/31/2012,9/1/2012,9/2/2012,9/3/2012,9/4/2012,9/5/2012,9/6/2012,9/7/2012,9/8/2012,9/9/2012,9/10/2012,9/11/2012,9/12/2012,9/13/2012,9/14/2012,9/15/2012,9/16/2012,9/17/2012,9/18/2012,9/19/2012,9/20/2012,9/21/2012,9/22/2012,9/23/2012,9/24/2012,9/25/2012,9/26/2012,9/27/2012,9/28/2012,9/29/2012,9/30/2012,10/1/2012,10/2/2012,10/3/2012,10/4/2012,10/5/2012,10/6/2012,10/7/2012,10/8/2012,10/9/2012,10/10/2012,10/11/2012,10/12/2012,10/13/2012,10/14/2012,10/15/2012,10/16/2012,10/17/2012,10/18/2012,10/19/2012,10/20/2012,10/21/2012,10/22/2012,10/23/2012,10/24/2012,10/25/2012,10/26/2012,10/27/2012,10/28/2012,10/29/2012,10/30/2012,10/31/2012,11/1/2012,11/2/2012,11/3/2012,11/4/2012,11/5/2012,11/6/2012,11/7/2012,11/8/2012,11/9/2012,11/10/2012
1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,2%,3%,3%,4%,5%,5%,6%,6%,7%,7%,8%,9%,9%,10%,10%,11%,12%,12%,13%,13%,14%,15%,15%,17%,18%,20%,21%,23%,24%,26%,29%,32%,35%,39%,42%,45%,49%,51%,54%,57%,60%,63%,66%,69%,72%,75%,77%,79%,81%,82%,84%,85%,85%,85%,86%,86%,86%,87%,87%,88%,87%,87%,86%,86%,85%,85%,85%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%,86%,85%,84%,83%,82%,81%,80%,80%,80%,80%,80%,80%,80%,78%,75%,73%,71%,68%,66%,64%,61%,59%,57%,54%,52%,49%,47%,45%,42%,40%,38%,35%,33%,31%,28%,26%,24%,21%,19%,16%,14%,12%,9%,7%,5%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,2%,3%,3%,4%,5%,5%,6%,7%,7%,8%,8%,9%,10%,10%,11%,12%,12%,13%,13%,14%,15%,15%,16%,18%,19%,21%,22%,24%,26%,27%,30%,34%,37%,41%,45%,48%,52%,55%,58%,61%,64%,68%,71%,74%,77%,80%,81%,83%,85%,86%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,88%,88%,87%,86%,86%,85%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%,87%,86%,85%,85%,84%,83%,82%,81%,80%,80%,79%,79%,78%,77%,75%,72%,69%,67%,64%,61%,59%,56%,53%,51%,48%,45%,43%,40%,37%,35%,32%,29%,27%,24%,21%,19%,16%,13%,11%,8%,5%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
3,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,2%,3%,4%,5%,5%,6%,7%,8%,8%,9%,10%,11%,11%,12%,13%,14%,14%,15%,16%,17%,17%,18%,19%,21%,22%,24%,26%,28%,29%,31%,35%,38%,42%,45%,48%,51%,55%,57%,60%,63%,65%,68%,70%,73%,75%,78%,80%,81%,83%,84%,86%,86%,86%,86%,87%,87%,87%,88%,88%,88%,88%,87%,86%,86%,85%,85%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,85%,85%,85%,86%,86%,87%,87%,87%,87%,86%,86%,86%,85%,85%,84%,84%,83%,83%,82%,82%,82%,79%,76%,74%,71%,68%,66%,63%,60%,58%,55%,53%,50%,47%,45%,42%,39%,37%,34%,32%,29%,26%,24%,21%,18%,16%,13%,11%,8%,5%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
4,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,2%,3%,3%,4%,5%,5%,6%,7%,7%,8%,8%,9%,10%,10%,11%,11%,12%,13%,13%,14%,14%,15%,16%,18%,20%,22%,24%,26%,28%,30%,33%,36%,39%,42%,45%,48%,52%,54%,57%,60%,62%,65%,68%,71%,73%,76%,78%,80%,81%,83%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,84%,84%,84%,83%,83%,82%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,84%,84%,84%,84%,84%,84%,84%,85%,85%,85%,84%,83%,82%,81%,81%,80%,79%,79%,79%,79%,78%,78%,78%,76%,73%,71%,68%,66%,63%,61%,58%,55%,53%,50%,48%,45%,43%,40%,38%,35%,33%,30%,28%,25%,23%,20%,18%,15%,13%,10%,8%,5%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,2%,3%,3%,4%,5%,5%,6%,6%,7%,7%,8%,9%,9%,10%,10%,11%,12%,12%,13%,13%,14%,15%,15%,17%,18%,20%,22%,24%,25%,27%,30%,34%,37%,40%,44%,47%,50%,53%,56%,59%,62%,65%,68%,71%,74%,77%,78%,80%,82%,83%,85%,85%,85%,86%,86%,86%,86%,87%,87%,87%,87%,86%,86%,86%,85%,85%,84%,83%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,84%,83%,83%,82%,81%,81%,80%,79%,78%,77%,76%,75%,73%,70%,67%,64%,62%,59%,56%,54%,51%,48%,46%,43%,40%,38%,35%,32%,30%,27%,24%,21%,19%,16%,13%,11%,8%,5%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
6,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,2%,3%,4%,5%,5%,6%,7%,8%,8%,9%,10%,11%,11%,12%,13%,14%,14%,15%,16%,16%,17%,18%,19%,21%,23%,25%,26%,28%,30%,32%,35%,37%,41%,44%,47%,51%,54%,57%,60%,62%,65%,68%,71%,73%,76%,79%,80%,82%,83%,85%,86%,86%,87%,87%,87%,87%,87%,88%,88%,88%,88%,87%,87%,86%,86%,86%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,87%,87%,87%,88%,88%,87%,86%,85%,84%,83%,83%,82%,79%,77%,74%,71%,69%,66%,63%,60%,57%,54%,51%,47%,44%,41%,38%,35%,32%,28%,25%,22%,19%,16%,13%,9%,6%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,3%,3%,4%,5%,6%,7%,7%,8%,9%,10%,11%,11%,12%,13%,14%,15%,15%,16%,17%,18%,19%,19%,20%,22%,24%,25%,27%,29%,30%,32%,35%,37%,40%,43%,46%,49%,52%,54%,57%,59%,61%,64%,66%,68%,71%,73%,75%,77%,79%,81%,84%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,84%,84%,84%,84%,84%,84%,84%,84%,84%,83%,83%,83%,83%,83%,83%,83%,83%,84%,84%,84%,85%,85%,85%,85%,86%,86%,85%,84%,83%,82%,81%,81%,80%,79%,79%,79%,79%,79%,79%,76%,74%,71%,68%,66%,63%,61%,58%,56%,53%,51%,48%,46%,43%,41%,38%,35%,33%,30%,28%,25%,23%,20%,18%,15%,13%,10%,8%,5%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,2%,3%,4%,5%,5%,6%,7%,8%,8%,9%,10%,10%,11%,12%,13%,13%,14%,15%,16%,16%,17%,18%,19%,20%,22%,24%,26%,28%,30%,32%,35%,38%,41%,44%,47%,50%,53%,55%,58%,61%,63%,66%,68%,71%,73%,76%,78%,79%,81%,83%,84%,84%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,87%,87%,87%,88%,87%,86%,85%,84%,83%,82%,81%,80%,79%,79%,78%,78%,77%,75%,72%,70%,67%,65%,62%,60%,57%,55%,52%,50%,47%,45%,42%,40%,37%,35%,32%,30%,27%,25%,22%,20%,17%,15%,12%,10%,7%,5%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,2%,3%,4%,5%,5%,6%,7%,8%,8%,9%,10%,11%,11%,12%,13%,14%,14%,15%,16%,17%,17%,18%,19%,21%,23%,25%,27%,29%,30%,32%,36%,40%,42%,45%,48%,51%,53%,56%,58%,61%,63%,65%,68%,70%,73%,75%,77%,79%,81%,83%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,85%,85%,85%,85%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,87%,87%,87%,87%,88%,86%,85%,83%,82%,81%,79%,78%,77%,76%,75%,74%,73%,72%,69%,66%,64%,61%,59%,56%,54%,51%,49%,46%,43%,41%,38%,36%,33%,31%,28%,26%,23%,20%,18%,15%,13%,10%,8%,5%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
10,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,2%,3%,4%,4%,5%,5%,6%,7%,7%,8%,9%,9%,10%,10%,11%,12%,12%,13%,14%,14%,15%,15%,16%,18%,20%,22%,24%,26%,29%,31%,34%,37%,40%,43%,46%,49%,52%,54%,57%,60%,62%,65%,67%,70%,73%,75%,77%,79%,81%,82%,84%,84%,85%,85%,85%,86%,86%,86%,86%,87%,86%,86%,85%,85%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,84%,83%,82%,81%,80%,79%,76%,73%,70%,67%,64%,61%,58%,55%,52%,49%,46%,43%,41%,38%,35%,32%,29%,26%,23%,20%,17%,14%,12%,9%,6%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
